853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
762167"2016918757"Repeat Offender"300 AVONDALE GARDEN RD, WAGGAMAN"8/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/23/2016"J S BRADY"300 AVONDALE GARDEN RD"WAGGAMAN"W"LETTER RETURNED"01/17/2017"DEMAND LETTER"01/06/2017"
754909"2016915839"Repeat Offender"300 AVONDALE GARDEN RD, WAGGAMAN"7/21/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/21/2016"KENNEDY HEIGHTS"111 SOUTHERN CT"WAGGAMAN"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/09/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
753187"2016915178"Repeat Offender"300 AVONDALE GARDEN RD, WAGGAMAN"7/14/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/14/2016"J S BRADY"300 AVONDALE GARDEN RD"WAGGAMAN"W"ADVALOREM TAX ORDINANCE"05/03/2017"
740633"2016910239"Repeat Offender"300 AVONDALE GARDEN RD, WAGGAMAN"5/17/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/17/2016"J S BRADY"300 AVONDALE GARDEN RD"WAGGAMAN"W"ADVALOREM TAX ORDINANCE"05/03/2017"
791673"2017903638"Repeat Offender"352 AZALEA DR, WAGGAMAN"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"FLORAL ACRES"352 AZALEA DR"WAGGAMAN"W"INSPECTION COMPLETED/DATE"02/24/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
716039"2016900368"Repeat Offender"212 BANNERWOOD DR, GRETNA"1/8/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"01/08/2016"MEADOWBROOK"212 BANNERWOOD DR"GRETNA"W"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"11/27/2017"PAY OFF"05/22/2017"ADVALOREM TAX ORDINANCE"05/03/2017"DEMAND LETTER"04/08/2016"BILLED"01/12/2016"COMMENT"01/08/2018"COMPLAINT ENTERED/DATE"01/08/2016"COMPLAINT RECEIVED"01/08/2016"
854234"2018902292"Repeat Offender"2352 BARATARIA BLVD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AMES FARM LAND COMPANY"2352 BARATARIA BLVD"MARRERO"W"
791183"2017903270"Repeat Offender"2352 BARATARIA BLVD, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"AMES FARM LAND COMPANY"2352 BARATARIA BLVD"MARRERO"W"COMMENT"03/23/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/21/2017"MAIL CORRESPONDANCE"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791312"2017903500"Repeat Offender"2756 BARK AVE, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"BENT TREE ESTATES"2756 BARK AVE"MARRERO"W"COMMENT"03/23/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
720484"2016902217"Repeat Offender"2756 BARK AVE, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BENT TREE ESTATES"2756 BARK AVE"MARRERO"W"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
853735"2018901874"Repeat Offender"123 BARK ST, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"RATHBORNE"123 BARK ST"HARVEY"W"
854417"2018902130"Repeat Offender"4968 BASSE DR, BARATARIA"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"
845374"2017923128"Repeat Offender"4968 BASSE DR, BARATARIA"10/20/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/20/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"COMMUNICATION W/OWNER/AGENT"01/29/2018"
836107"2017919727"Repeat Offender"4968 BASSE DR, BARATARIA"9/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"09/07/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"COMMUNICATION W/OWNER/AGENT"01/29/2018"
831433"2017918175"Repeat Offender"4968 BASSE DR, BARATARIA"8/17/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/17/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"COMMUNICATION W/OWNER/AGENT"01/29/2018"
829359"2017917330"Repeat Offender"4968 BASSE DR, BARATARIA"8/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2017"MAISE"5762 LISA ST"LAFITTE"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/16/2017"
817922"2017913109"Repeat Offender"4968 BASSE DR, BARATARIA"6/20/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/20/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"COMMUNICATION W/OWNER/AGENT"01/29/2018"
791512"2017903268"Repeat Offender"4968 BASSE DR, BARATARIA"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"JONATHAN DAVIS PLANTATION"4968 BASSE DR"BARATARIA"W"COMMENT"08/11/2017"BILLED"08/11/2017"WORK ORDER BOX"08/09/2017"COMMENT"08/03/2017"COMMENT"07/18/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/16/2017"COMMENT"06/26/2017"COMMENT"06/06/2017"COMMENT"05/09/2017"COMMENT"04/20/2017"COMMENT"03/22/2017"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"COMMUNICATION W/OWNER/AGENT"02/20/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"COMMUNICATION W/OWNER/AGENT"01/29/2018"
720282"2016902276"Repeat Offender"2628 BATISTE DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"RIDGEFIELD"2628 BATISTE DR"MARRERO"W"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
791725"2017903168"Repeat Offender"2709 BAYOU COOK DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"BAYOU DES FAMILLE"2709 BAYOU COOK DR"MARRERO"W"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791162"2017903723"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
772292"2016922479"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"10/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/11/2016"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/13/2017"COMMENT"02/01/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"DEMAND LETTER"01/19/2017"
766267"2016920269"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"9/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/12/2016"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/19/2017"COMMENT"02/01/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"DEMAND LETTER"01/09/2017"
756853"2016916724"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
755669"2016916246"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"7/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2016"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/29/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
720255"2016902332"Repeat Offender"4448 BAYOU DES FAMILLES DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BAYOU DES FAMILLE"4448 BAYOU DES FAMILLES DR"MARRERO"W"DEMAND LETTER"09/19/2016"COMMENT"08/23/2016"COMMENT"07/26/2016"COMMENT"07/01/2016"BILLED"07/01/2016"COMMENT"06/22/2016"COMMENT"06/09/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/07/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/29/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
854122"2018901551"Repeat Offender"2808 BAYOU TECHE DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"BAYOU DES FAMILLE"2808 BAYOU TECHE DR"MARRERO"W"
791123"2017903053"Repeat Offender"156 BECKY DR, AVONDALE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SOUTH AVONDALE HOMES"156 BECKY DR"AVONDALE"W"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791587"2017903087"Repeat Offender"156 BECKY DR, AVONDALE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SOUTH AVONDALE HOMES"156 BECKY DR"AVONDALE"W"INSPECTION COMPLETED/DATE"02/24/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
853955"2018902317"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"
836547"2017919925"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"9/8/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"09/08/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"
833852"2017919030"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"8/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/28/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"
831428"2017918172"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"8/17/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/17/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/27/2017"
827073"2017916515"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"7/31/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/31/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"
823831"2017915203"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"7/17/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/17/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/30/2017"
821583"2017914351"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"7/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/07/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/14/2017"
815909"2017912379"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"6/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/12/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/30/2017"
791641"2017902983"Repeat Offender"516 BEHRMAN HWY, TERRYTOWN"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"TERRYTOWN"516 BEHRMAN HWY"TERRYTOWN"W"LETTER RETURNED"10/11/2017"COMMENT"09/26/2017"COMMENT"09/14/2017"COMMENT"08/29/2017"COMMENT"08/15/2017"COMMENT"08/07/2017"COMMENT"07/31/2017"COMMENT"07/14/2017"COMMENT"06/15/2017"DEMAND LETTER"06/14/2017"COMMENT"05/17/2017"COMMENT"04/28/2017"COMMENT"04/17/2017"BILLED"04/05/2017"COMMENT"04/04/2017"COMMENT"03/16/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/15/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
854253"2018902290"Repeat Offender"5637 BELLE TERRE RD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SAINT JOSEPHS GARDENS"5637 BELLE TERRE RD"MARRERO"W"
720295"2016902215"Repeat Offender"5027 BELLE TERRE RD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BELLE TERRE"5027 BELLE TERRE RD"MARRERO"W"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720144"2016902333"Repeat Offender"5216 BELLE TERRE RD, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BELLE TERRE"5216 BELLE TERRE RD"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
791237"2017903637"Repeat Offender"4312 BELVEDERE ST, METAIRIE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SUBURBAN VILLA"4312 BELVEDERE ST"METAIRIE"E"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
853765"2018901710"Repeat Offender"6569 BENEDICT DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"
854300"2018902052"Repeat Offender"6561 BENEDICT DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
853893"2018902084"Repeat Offender"2090 BENEDICT DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"
848874"2017924228"Repeat Offender"6561 BENEDICT DR, MARRERO"11/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/09/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
843963"2017922588"Repeat Offender"6569 BENEDICT DR, MARRERO"10/13/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/13/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"10/13/2017"COMPLAINT RECEIVED"10/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"09/27/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/27/2017"
843973"2017922593"Repeat Offender"6561 BENEDICT DR, MARRERO"10/13/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/13/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
842868"2017922208"Repeat Offender"2090 BENEDICT DR, MARRERO"10/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/09/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/15/2017"
834514"2017919230"Repeat Offender"6561 BENEDICT DR, MARRERO"8/30/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/30/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
833038"2017918809"Repeat Offender"6569 BENEDICT DR, MARRERO"8/24/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"08/24/2017"COMPLAINT RECEIVED"08/24/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/18/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/18/2017"
830920"2017918006"Repeat Offender"2090 BENEDICT DR, MARRERO"8/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/15/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"07/25/2017"
830535"2017917845"Repeat Offender"6561 BENEDICT DR, MARRERO"8/14/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/14/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
829828"2017917522"Repeat Offender"6569 BENEDICT DR, MARRERO"8/10/2017"HIGH WEEDS ON LOT"PMZ - WEED CONTROL"08/10/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"08/10/2017"COMPLAINT RECEIVED"08/10/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/24/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/24/2017"
829379"2017917335"Repeat Offender"2090 BENEDICT DR, MARRERO"8/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/08/2017"
829401"2017917342"Repeat Offender"6569 BENEDICT DR, MARRERO"8/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT RECEIVED"08/09/2017"BILLED"08/03/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/08/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/08/2017"
828103"2017916860"Repeat Offender"6561 BENEDICT DR, MARRERO"8/3/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
818967"2017913422"Repeat Offender"2090 BENEDICT DR, MARRERO"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"
818998"2017913434"Repeat Offender"6569 BENEDICT DR, MARRERO"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"06/26/2017"COMPLAINT RECEIVED"06/26/2017"PROPERTY CUT BY PARISH CONTRACTOR"06/07/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/07/2017"
819071"2017913465"Repeat Offender"6561 BENEDICT DR, MARRERO"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"
809653"2017910007"Repeat Offender"2090 BENEDICT DR, MARRERO"5/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/12/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/01/2017"
809663"2017910011"Repeat Offender"6569 BENEDICT DR, MARRERO"5/12/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/12/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"05/12/2017"COMPLAINT RECEIVED"05/12/2017"PROPERTY CUT BY PARISH CONTRACTOR"05/01/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/01/2017"
804458"2017908003"Repeat Offender"2090 BENEDICT DR, MARRERO"4/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/18/2017"LINCOLNSHIRE"2090 BENEDICT DR"MARRERO"W"COMPLAINT ENTERED/DATE"04/04/2017"COMPLAINT RECEIVED"04/04/2017"
804468"2017908008"Repeat Offender"6569 BENEDICT DR, MARRERO"4/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/18/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"PROPERTY CUT BY PARISH CONTRACTOR"04/04/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/04/2017"COMPLAINT ENTERED/DATE"04/04/2017"COMPLAINT RECEIVED"04/04/2017"
791061"2017903421"Repeat Offender"6569 BENEDICT DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"LINCOLNSHIRE"6569 BENEDICT DR"MARRERO"W"LETTER RETURNED"07/21/2017"LETTER RETURNED"07/19/2017"COMMENT"07/11/2017"DEMAND LETTER"07/10/2017"DEMAND LETTER"07/10/2017"COMMENT"06/09/2017"COMMENT"05/25/2017"MAIL CORRESPONDANCE"05/19/2017"COMMENT"05/02/2017"MAIL CORRESPONDANCE"04/27/2017"COMMENT"04/05/2017"BILLED"03/28/2017"MAIL CORRESPONDANCE"03/13/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/06/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791257"2017903443"Repeat Offender"6561 BENEDICT DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"LINCOLNSHIRE"6561 BENEDICT DR"MARRERO"W"COMMENT"07/11/2017"DEMAND LETTER"06/14/2017"COMMENT"06/09/2017"COMMENT"05/25/2017"COMMENT"05/02/2017"COMMENT"04/05/2017"BILLED"03/28/2017"COMMENT"03/08/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/06/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
